url,status,title,canonical,language,type,indexable,source,notes
/,200,"Wenaya — Santé Intégrée & Bien-être | Casablanca, Maroc",https://www.wenaya.com/,fr,HOME,yes,sitemap; SSR verified 2026-09-08,Homepage; H1 + cinematic hero; priority 1.0; x-default->FR
/en,200,"Wenaya — Integrated Health & Wellbeing | Casablanca, Morocco",https://www.wenaya.com/en,en,HOME,yes,sitemap; SSR verified 2026-09-08,EN homepage
/about-us,200,Wenaya Clinic — Centre de Santé Intégrée à Casablanca,https://www.wenaya.com/about-us,fr,CLINIC,yes,sitemap; SSR verified 2026-09-08,Canonical Clinic page (short /about folds here 308)
/en/about-us,200,Wenaya Clinic — Integrated Health Center in Casablanca,https://www.wenaya.com/en/about-us,en,CLINIC,yes,sitemap; SSR verified 2026-09-08,EN Clinic
/pratiques,200,"Nos Pratiques — Kinésithérapie, Ostéopathie, Psychologie & Nutrition",https://www.wenaya.com/pratiques,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,19-practice catalog; API-backed listing (revalidate 1h) + pagination
/en/pratiques,200,"Our Practices — Physiotherapy, Osteopathy, Psychology & Nutrition",https://www.wenaya.com/en/pratiques,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN catalog
/seance-de-groupe,200,Séances de groupe à Casablanca,https://www.wenaya.com/seance-de-groupe,fr,GROUP SESSION,yes,sitemap; SSR verified 2026-09-08,6 sessions listing
/en/seance-de-groupe,200,Group Sessions in Casablanca,https://www.wenaya.com/en/seance-de-groupe,en,GROUP SESSION,yes,sitemap; SSR verified 2026-09-08,EN listing
/professional,200,Nos Spécialistes — Wenaya Casablanca,https://www.wenaya.com/professional,fr,PROFESSIONAL,yes,sitemap; SSR verified 2026-09-08,10 specialists listing
/en/professional,200,Our Specialists — Wenaya Casablanca,https://www.wenaya.com/en/professional,en,PROFESSIONAL,yes,sitemap; SSR verified 2026-09-08,EN listing
/articles,200,"Blog Santé & Bien-être — Conseils, Études et Guides",https://www.wenaya.com/articles,fr,ARTICLE,yes,sitemap; SSR verified 2026-09-08,7 articles listing
/en/articles,200,-,https://www.wenaya.com/en/articles,en,ARTICLE,yes,sitemap; SSR verified 2026-09-08,EN listing
/corporate,200,Bien-être en Entreprise — Programmes Santé & Prévention,https://www.wenaya.com/corporate,fr,CORPORATE,yes,sitemap; SSR verified 2026-09-08,Corporate wellness landing
/en/corporate,200,Corporate Wellness — Health & Prevention Programs,https://www.wenaya.com/en/corporate,en,CORPORATE,yes,sitemap; SSR verified 2026-09-08,EN corporate
/corporate/programmes,200,Programmes — Wenaya Corporate,https://www.wenaya.com/corporate/programmes,fr,STATIC,yes,sitemap; SSR verified 2026-09-08,Corporate programmes
/en/corporate/programmes,200,Programmes — Wenaya Corporate,https://www.wenaya.com/en/corporate/programmes,en,STATIC,yes,sitemap; SSR verified 2026-09-08,EN programmes
/soins-a-domicile,200,Soins à domicile — Garde malade & infirmier à domicile à Casablanca,https://www.wenaya.com/soins-a-domicile,fr,HOMECARE,yes,sitemap; SSR verified 2026-09-08,Homecare FR ONLY (no EN route)
/contact-us,200,Contact — Wenaya Clinic Casablanca | Prendre Rendez-vous,https://www.wenaya.com/contact-us,fr,CONTACT,yes,sitemap; SSR verified 2026-09-08,Canonical contact (short /contact folds here 308)
/en/contact-us,200,Contact — Wenaya Clinic Casablanca | Book an Appointment,https://www.wenaya.com/en/contact-us,en,CONTACT,yes,sitemap; SSR verified 2026-09-08,EN contact
/terms-and-conditions,200,Conditions Générales d'Utilisation — Wenaya,https://www.wenaya.com/terms-and-conditions,fr,LEGAL,yes,sitemap; SSR verified 2026-09-08,Canonical legal (short /conditions folds here 308)
/en/terms-and-conditions,200,Terms & Conditions — Wenaya,https://www.wenaya.com/en/terms-and-conditions,en,LEGAL,yes,sitemap; SSR verified 2026-09-08,EN legal
/privacy-policy,200,Politique de Confidentialité — Wenaya,https://www.wenaya.com/privacy-policy,fr,LEGAL,yes,sitemap; SSR verified 2026-09-08,Canonical legal (short /confidentialite folds here 308)
/en/privacy-policy,200,Privacy Policy — Wenaya,https://www.wenaya.com/en/privacy-policy,en,LEGAL,yes,sitemap; SSR verified 2026-09-08,EN privacy
/faq,200,FAQ — Wenaya,https://www.wenaya.com/faq,fr,STATIC,yes,sitemap; SSR verified 2026-09-08,FAQ
/en/faq,200,FAQ — Wenaya,https://www.wenaya.com/en/faq,en,STATIC,yes,sitemap; SSR verified 2026-09-08,EN FAQ
/login,200,Connexion — Espace Patient Wenaya,https://www.wenaya.com/login,fr,AUTH,no,sitemap; SSR verified 2026-09-08,Patient login placeholder; noindex (no real auth backend yet)
/en/login,200,Sign in — Wenaya Patient Space,https://www.wenaya.com/en/login,en,AUTH,no,sitemap; SSR verified 2026-09-08,EN login; noindex
/pratiques/kinesitherapie,200,Kin├®sith├®rapie | Wenaya,https://www.wenaya.com/pratiques/kinesitherapie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/kinesitherapie,200,Physiotherapy | Wenaya,https://www.wenaya.com/en/pratiques/kinesitherapie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/osteopathie,200,Ost├®opathie | Wenaya,https://www.wenaya.com/pratiques/osteopathie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/osteopathie,200,Osteopathy | Wenaya,https://www.wenaya.com/en/pratiques/osteopathie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/massotherapie,200,Massoth├®rapie | Wenaya,https://www.wenaya.com/pratiques/massotherapie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/massotherapie,200,Massotherapy | Wenaya,https://www.wenaya.com/en/pratiques/massotherapie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/cupping-therapy-hijama,200,Cupping therapy-Hijama | Wenaya,https://www.wenaya.com/pratiques/cupping-therapy-hijama,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/cupping-therapy-hijama,200,Cupping Therapy ÔÇô Hijama | Wenaya,https://www.wenaya.com/en/pratiques/cupping-therapy-hijama,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/psychologie,200,Psychologie | Wenaya,https://www.wenaya.com/pratiques/psychologie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/psychologie,200,Psychology | Wenaya,https://www.wenaya.com/en/pratiques/psychologie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/neuropsychologie,200,Neuropsychologie | Wenaya,https://www.wenaya.com/pratiques/neuropsychologie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/neuropsychologie,200,Neuropsychology | Wenaya,https://www.wenaya.com/en/pratiques/neuropsychologie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/psychotherapie,200,Psychoth├®rapie | Wenaya,https://www.wenaya.com/pratiques/psychotherapie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/psychotherapie,200,Psychotherapy | Wenaya,https://www.wenaya.com/en/pratiques/psychotherapie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/sexologie,200,Sexologie | Wenaya,https://www.wenaya.com/pratiques/sexologie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/sexologie,200,Sexology | Wenaya,https://www.wenaya.com/en/pratiques/sexologie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/meditation,200,M├®ditation | Wenaya,https://www.wenaya.com/pratiques/meditation,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/meditation,200,Meditation | Wenaya,https://www.wenaya.com/en/pratiques/meditation,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/sophrologie,200,Sophrologie | Wenaya,https://www.wenaya.com/pratiques/sophrologie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/sophrologie,200,Sophrology | Wenaya,https://www.wenaya.com/en/pratiques/sophrologie,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/nutrition,200,Nutrition | Wenaya,https://www.wenaya.com/pratiques/nutrition,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/nutrition,200,Nutrition | Wenaya,https://www.wenaya.com/en/pratiques/nutrition,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/coaching-sportif,200,Coaching Sportif | Wenaya,https://www.wenaya.com/pratiques/coaching-sportif,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
/en/pratiques/coaching-sportif,200,Sport Coaching | Wenaya,https://www.wenaya.com/en/pratiques/coaching-sportif,en,PRACTICE,yes,sitemap; SSR verified 2026-09-08,EN practice
/pratiques/orthophonie,200,Orthophonie | Wenaya,https://www.wenaya.com/pratiques/orthophonie,fr,PRACTICE,yes,sitemap; SSR verified 2026-09-08,ASCII canonical slug
